Panel 1,Panel 2,Panel 3,Panel 4,Characters,Word
Why should we employ you? I excel at many activities. ,Did you ask another being to compliment you? Yes - here is my compliment document.,This being says you are energetic…. I emit energy. ,…but also practical. I am a low-to-planet being,2,Employ
"My home, my regulations. Sweet disks",,Ew,"Lifegiver, you were correct. ",1,Regulations
"Ingest a minuscule portion? Ok, but I am only feigning interest in this product.","Wonderful, so am I.",Hahaha Hahaha,What a delightful interaction. Less so for me because repetition,2,Repetition
I am ready to observe your festive disguises.,I am unsettled. Because mortality is unsettling. ,I am a humorous being. I feel dread.,Let me comfort you with comedy. I prefer mortality.,3,Dread
Cease. Plummet. Rotate. ,Rotate until you are extinguished. ,How frequently will we do this? Almost certainly never. ,But you will recall this until the day you perish. ,2,Extinguished
Time to take a few of your mouth stones. Why? ,You are not using them. What if I promise to start? ,You cannot because they did not install correctly. What? ,They are your judicious mouth stones. They do not seem judicious. Yet they are. ,2,Install
A charming aged structure. Secluded in vegetation. ,Should we investigate the interior? I observe no reason against it. ,True - what negative outcome could there be? ,So many negative outcomes. They are not logical. ,4,Logical
Direct dispenser access. We control our beverage destiny. ,You combine flavors haphazardly. I am creating a completely unique experience.,Describe its essence.,Fructose is the dominant flavor. That makes sense. ,2,Unique
The young being’s strength has increased. Yes!,As has the ability to create disorder. Oh. ,The young being seems to enjoy it. Ah. Chaos is how I learn. ,"Remember if you create disorder, we have to help create order again. This is what I learned. ",3,Chaos
What was your activity today? I have been handscratching the creature for an unknown number of time increments. ,Also I captured delightful images of it while it rested. ,Wow. ,Why did you not transmit the images to me? I am rendering a full audio-visual presentation. ,3,Activity
This is where we observe narratives. ,"In the warm cycles, we observe exciting narratives in which being punch each other. Ok. ",In the cold cycles we observe dramatic narratives in which beings yell at each other. Ah. ,Then they give a tiny statue to the beings who yelled most believably. Wow. ,2,Cycles
I love observing the massive liquid.,I could observe it every day. ,The experience is still novel for me because of where I lived as a young being. ,In the farfromliquid? In the middle of the farfromliquid. ,2,Novel
Do you ever imagine what if the universe were not so expansive?,What if I could gather all beings I love into one place? ,Can you imagine that sensation? ,,2,Sensation
Heat increments are low. This day will be pleasant.,Ah but now I sense the air moisture. My body is wet though I have not moved. ,It may or may not be precipitating. Inescapable Moistness consumes us. ,The clouds have descended - we are not in a cloud. I retract all optimism.,2,Moistness
This is a gift with the implicit understanding you will purchase more. ,We accept your terms. And accept your gift. ,I am nearing capacity. But we must not decrease our order. It is the right thing to do. ,Do you desire replenishment? We do not need it. Yet we will consume it. ,3,Implicit
"I will relay steering instructions to you in narrative form, as beings have always done. We need only the coordinates. ",You will observe a large tree - Our technology is sufficient if we just have coordinates.,Subsequently… Device relay is failing. Where do I steer this machine?,We should have learned the tree narrative. We have forgotten the ways of our predecessors.,3,Narrative
So… we transfer momentum from the low surface to the high surface. We attempt to!,…. with no ramp. We choose this location because it is rampless.,I sense we will tumble often. Hence the head-on doublers. ,Observe this. So unwell. ,2,Unwell
This scent is repulsive. ,May I share a sensory experience with you? What will occur if I say yes? ,We bond in mutual disgust. What decay is this? ,Shared negative experiences strengthen friendships. I feel weaker though. ,2,Disgust
I will return - I must run to prepare for my imminent perish run. What is a perish run? ,The narrative is the first being to run a full perish-length perished soon after completion. Ok wow. ,I do not want to perish someday having never completed a physical activity known for making someone perish. ,I thought you had already completed one. That was a half-perish.,3,Completion
Why do your orifices ooze? ,My body is reacting to something in the fibers.,Then why are you touching them? ,Because we’re best friends.,3,Ooze
I apologize for striking the walls. I was installing an inspirational placard. ,"In moments of uncertainty, it will remind us of the crucial directives. What are the crucial directives? ",Survive Chuckle Show affection,It is on this comfort square too. ,2,Directives
A natural body of liquid. So full of life. ,But also opaque. I cannot observe myself. Nor any other creature. ,"I felt movement. I am exiting nature. Ok, nature was fun. ",I know I will eventually nourish nature with my body but I do not want it to be today. ,2,Opaque
Bsss Observe. Greetings tiny being.,Your young being started it. We do not pose a threat to your youngling. ,Nor do we feel threatened. Those tiny arms can not hurt us. ,Haha. My young being greets every creature. Ok but we will feel special still. We were chosen. ,4,Greetings
"Mmm I smell delicious sweet disks. Actually, no. ",This is the scent of this primitive light source. ,"Impressive scent replication, right? So impressive. ","So, so impressive. ",2,Scent
